Nllamados,Nido,Trt,SexoPadreCuidador,Nidada,LogNidada,Tiempo
12,Marnand,Hambriento,Macho,4,1.386294361,22.28
6,Marnand,Saciado,Hembra,4,1.386294361,22.53
6,Marnand,Saciado,Macho,4,1.386294361,22.65
13,Marnand,Hambriento,Macho,4,1.386294361,22.73
28,Marnand,Hambriento,Hembra,4,1.386294361,22.98
0,Marnand,Saciado,Macho,4,1.386294361,23.35
6,Marnand,Hambriento,Hembra,4,1.386294361,23.4
0,Marnand,Hambriento,Macho,4,1.386294361,23.86
3,Marnand,Saciado,Macho,4,1.386294361,24.23
2,Marnand,Saciado,Hembra,4,1.386294361,24.31
4,Marnand,Hambriento,Macho,4,1.386294361,24.41
4,Marnand,Hambriento,Hembra,4,1.386294361,24.48
8,Marnand,Saciado,Hembra,4,1.386294361,24.58
8,Marnand,Saciado,Macho,4,1.386294361,24.63
13,Marnand,Hambriento,Hembra,4,1.386294361,25.13
7,Marnand,Hambriento,Macho,4,1.386294361,25.53
4,Marnand,Hambriento,Macho,4,1.386294361,25.58
0,Marnand,Saciado,Hembra,4,1.386294361,25.63
0,Marnand,Saciado,Hembra,4,1.386294361,25.68
12,Marnand,Saciado,Macho,4,1.386294361,25.86
4,Marnand,Hambriento,Macho,4,1.386294361,25.96
17,Marnand,Hambriento,Macho,4,1.386294361,26.06
7,Marnand,Saciado,Macho,4,1.386294361,26.38
5,Marnand,Hambriento,Macho,4,1.386294361,26.53
1,Marnand,Saciado,Macho,4,1.386294361,26.76
0,Marnand,Hambriento,Macho,4,1.386294361,27.38
0,Marnand,Hambriento,Macho,4,1.386294361,27.46
6,Moutet,Saciado,Macho,5,1.609437912,22.7
15,Moutet,Hambriento,Macho,5,1.609437912,22.95
17,Moutet,Hambriento,Macho,5,1.609437912,23.11
10,Moutet,Hambriento,Macho,5,1.609437912,23.33
2,Moutet,Saciado,Hembra,5,1.609437912,23.55
15,Moutet,Hambriento,Macho,5,1.609437912,23.6
2,Moutet,Saciado,Macho,5,1.609437912,23.63
10,Moutet,Hambriento,Macho,5,1.609437912,23.81
0,Moutet,Saciado,Macho,5,1.609437912,24.05
7,Moutet,Hambriento,Macho,5,1.609437912,24.06
7,Moutet,Hambriento,Macho,5,1.609437912,24.08
7,Moutet,Hambriento,Macho,5,1.609437912,24.2
15,Moutet,Hambriento,Macho,5,1.609437912,24.3
5,Moutet,Saciado,Macho,5,1.609437912,24.35
5,Moutet,Saciado,Macho,5,1.609437912,24.43
15,Moutet,Hambriento,Macho,5,1.609437912,24.48
19,Moutet,Hambriento,Macho,5,1.609437912,24.61
0,Moutet,Saciado,Macho,5,1.609437912,24.66
19,Moutet,Hambriento,Macho,5,1.609437912,24.7
12,Moutet,Saciado,Macho,5,1.609437912,24.81
10,Moutet,Hambriento,Macho,5,1.609437912,24.85
12,Moutet,Saciado,Macho,5,1.609437912,24.9
10,Moutet,Hambriento,Macho,5,1.609437912,24.96
20,Moutet,Hambriento,Macho,5,1.609437912,25.03
20,Moutet,Hambriento,Macho,5,1.609437912,25.1
7,Moutet,Saciado,Hembra,5,1.609437912,25.36
7,Moutet,Saciado,Macho,5,1.609437912,25.38
22,Moutet,Saciado,Macho,5,1.609437912,25.55
22,Moutet,Saciado,Macho,5,1.609437912,25.73
4,Moutet,Hambriento,Macho,5,1.609437912,25.9
14,Moutet,Hambriento,Hembra,5,1.609437912,26.55
4,Moutet,Hambriento,Macho,5,1.609437912,26.83
0,Moutet,Saciado,Hembra,5,1.609437912,26.91
0,Moutet,Saciado,Macho,5,1.609437912,26.93
2,Moutet,Hambriento,Macho,5,1.609437912,27.23
0,Moutet,Hambriento,Macho,5,1.609437912,27.43
12,Moutet,Hambriento,Macho,5,1.609437912,27.56
4,Moutet,Hambriento,Macho,5,1.609437912,27.83
2,Moutet,Saciado,Hembra,5,1.609437912,28.3
2,Moutet,Saciado,Macho,5,1.609437912,28.38
1,Moutet,Saciado,Hembra,5,1.609437912,28.86
3,Murist,Hambriento,Hembra,4,1.386294361,22.23
24,Murist,Saciado,Hembra,4,1.386294361,22.26
24,Murist,Hambriento,Macho,4,1.386294361,22.5
14,Murist,Hambriento,Macho,4,1.386294361,22.51
14,Murist,Hambriento,Macho,4,1.386294361,22.58
14,Murist,Saciado,Macho,4,1.386294361,22.6
14,Murist,Hambriento,Macho,4,1.386294361,22.61
14,Murist,Hambriento,Hembra,4,1.386294361,22.63
14,Murist,Hambriento,Macho,4,1.386294361,22.66
14,Murist,Saciado,Macho,4,1.386294361,22.78
14,Murist,Saciado,Macho,4,1.386294361,22.86
14,Murist,Saciado,Hembra,4,1.386294361,22.93
0,Murist,Hambriento,Macho,4,1.386294361,23.1
0,Murist,Saciado,Macho,4,1.386294361,23.4
0,Murist,Hambriento,Hembra,4,1.386294361,23.78
0,Murist,Hambriento,Hembra,4,1.386294361,23.8
3,Murist,Saciado,Macho,4,1.386294361,25.7
0,Murist,Saciado,Macho,4,1.386294361,25.83
6,Murist,Hambriento,Macho,4,1.386294361,26.23
17,Murist,Saciado,Macho,4,1.386294361,26.41
5,Murist,Hambriento,Macho,4,1.386294361,27.25
0,Murist,Saciado,Macho,4,1.386294361,27.53
0,Murist,Saciado,Macho,4,1.386294361,27.73
3,Murist,Hambriento,Macho,4,1.386294361,27.96
11,Oleyes,Saciado,Hembra,5,1.609437912,21.76
17,Oleyes,Saciado,Hembra,5,1.609437912,22.13
17,Oleyes,Saciado,Hembra,5,1.609437912,22.28
2,Oleyes,Hambriento,Hembra,5,1.609437912,22.38
12,Oleyes,Saciado,Macho,5,1.609437912,22.4
12,Oleyes,Saciado,Hembra,5,1.609437912,22.61
13,Oleyes,Saciado,Macho,5,1.609437912,22.73
10,Oleyes,Saciado,Hembra,5,1.609437912,22.85
16,Oleyes,Hambriento,Hembra,5,1.609437912,22.96
15,Oleyes,Saciado,Macho,5,1.609437912,23.08
12,Oleyes,Hambriento,Macho,5,1.609437912,23.1
11,Oleyes,Hambriento,Macho,5,1.609437912,23.43
0,Oleyes,Saciado,Macho,5,1.609437912,23.65
0,Oleyes,Saciado,Hembra,5,1.609437912,23.65
7,Oleyes,Hambriento,Macho,5,1.609437912,23.7
6,Oleyes,Hambriento,Hembra,5,1.609437912,23.83
6,Oleyes,Hambriento,Macho,5,1.609437912,23.96
0,Oleyes,Saciado,Macho,5,1.609437912,24.11
0,Oleyes,Saciado,Hembra,5,1.609437912,24.13
5,Oleyes,Hambriento,Macho,5,1.609437912,24.2
5,Oleyes,Hambriento,Macho,5,1.609437912,24.41
7,Oleyes,Hambriento,Macho,5,1.609437912,24.56
2,Oleyes,Saciado,Hembra,5,1.609437912,24.73
32,Oleyes,Saciado,Macho,5,1.609437912,24.9
6,Oleyes,Hambriento,Macho,5,1.609437912,24.93
32,Oleyes,Saciado,Macho,5,1.609437912,25.08
5,Oleyes,Saciado,Hembra,5,1.609437912,25.16
7,Oleyes,Hambriento,Hembra,5,1.609437912,25.2
7,Oleyes,Hambriento,Macho,5,1.609437912,25.2
5,Oleyes,Saciado,Macho,5,1.609437912,25.45
0,Oleyes,Saciado,Hembra,5,1.609437912,25.51
3,Oleyes,Hambriento,Macho,5,1.609437912,25.68
7,Oleyes,Saciado,Macho,5,1.609437912,25.76
14,Oleyes,Hambriento,Hembra,5,1.609437912,25.8
6,Oleyes,Saciado,Hembra,5,1.609437912,26
6,Oleyes,Saciado,Macho,5,1.609437912,26
14,Oleyes,Hambriento,Macho,5,1.609437912,26
0,Oleyes,Hambriento,Macho,5,1.609437912,26.03
0,Oleyes,Saciado,Hembra,5,1.609437912,26.1
13,Oleyes,Saciado,Macho,5,1.609437912,26.28
13,Oleyes,Saciado,Hembra,5,1.609437912,26.4
0,Oleyes,Saciado,Macho,5,1.609437912,26.55
4,Oleyes,Hambriento,Hembra,5,1.609437912,26.63
4,Oleyes,Hambriento,Macho,5,1.609437912,26.75
0,Oleyes,Saciado,Macho,5,1.609437912,26.8
0,Oleyes,Saciado,Macho,5,1.609437912,26.98
10,Oleyes,Hambriento,Macho,5,1.609437912,27.13
10,Oleyes,Hambriento,Hembra,5,1.609437912,27.31
6,Oleyes,Hambriento,Hembra,5,1.609437912,27.83
2,Oleyes,Hambriento,Macho,5,1.609437912,28.03
0,Oleyes,Saciado,Hembra,5,1.609437912,28.25
0,Oleyes,Hambriento,Hembra,5,1.609437912,28.86
6,Payerne,Saciado,Macho,5,1.609437912,22.08
6,Payerne,Saciado,Hembra,5,1.609437912,22.15
8,Payerne,Saciado,Hembra,5,1.609437912,22.61
8,Payerne,Saciado,Macho,5,1.609437912,22.63
8,Payerne,Saciado,Hembra,5,1.609437912,22.71
8,Payerne,Hambriento,Macho,5,1.609437912,22.78
7,Payerne,Saciado,Macho,5,1.609437912,22.88
15,Payerne,Hambriento,Hembra,5,1.609437912,23.01
8,Payerne,Saciado,Macho,5,1.609437912,23.03
8,Payerne,Saciado,Hembra,5,1.609437912,23.1
0,Payerne,Saciado,Hembra,5,1.609437912,23.35
0,Payerne,Saciado,Macho,5,1.609437912,23.43
1,Payerne,Saciado,Macho,5,1.609437912,23.68
8,Payerne,Saciado,Macho,5,1.609437912,24.1
5,Payerne,Saciado,Macho,5,1.609437912,24.35
5,Payerne,Saciado,Macho,5,1.609437912,24.48
7,Payerne,Saciado,Macho,5,1.609437912,25
10,Payerne,Hambriento,Macho,5,1.609437912,25.05
14,Payerne,Hambriento,Macho,5,1.609437912,25.26
0,Payerne,Saciado,Hembra,5,1.609437912,25.35
14,Payerne,Hambriento,Hembra,5,1.609437912,25.36
0,Payerne,Saciado,Macho,5,1.609437912,25.51
0,Payerne,Saciado,Macho,5,1.609437912,25.85
0,Payerne,Saciado,Macho,5,1.609437912,26.31
0,Payerne,Saciado,Macho,5,1.609437912,27.53
6,Rueyes,Hambriento,Hembra,4,1.386294361,22.01
0,Rueyes,Saciado,Hembra,4,1.386294361,22.06
10,Rueyes,Hambriento,Macho,4,1.386294361,22.26
18,Rueyes,Saciado,Macho,4,1.386294361,22.35
18,Rueyes,Saciado,Macho,4,1.386294361,22.38
18,Rueyes,Saciado,Macho,4,1.386294361,22.48
18,Rueyes,Saciado,Macho,4,1.386294361,22.5
11,Rueyes,Saciado,Macho,4,1.386294361,22.58
7,Rueyes,Hambriento,Macho,4,1.386294361,22.7
11,Rueyes,Saciado,Macho,4,1.386294361,22.95
9,Rueyes,Saciado,Macho,4,1.386294361,23.78
6,Rueyes,Hambriento,Macho,4,1.386294361,24.05
6,Rueyes,Hambriento,Macho,4,1.386294361,24.31
0,Rueyes,Saciado,Hembra,4,1.386294361,25.06
0,Rueyes,Saciado,Macho,4,1.386294361,25.33
1,Rueyes,Hambriento,Macho,4,1.386294361,25.35
7,Rueyes,Hambriento,Hembra,4,1.386294361,28.2
